[2017-10-21 17:48:59 341] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:49:19 813] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:50:15 410] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:50:17 173] [INFO ] [exp.qw.utils.SinaWeiboUtils] [87]- 填写用户名 [play00002@126.com]
[2017-10-21 17:50:17 686] [INFO ] [exp.qw.utils.SinaWeiboUtils] [91]- 填写密码 [*********]
[2017-10-21 17:50:18 192] [INFO ] [exp.qw.utils.SinaWeiboUtils] [95]- 点击 [登陆按钮], 等待登陆...
[2017-10-21 17:50:19 571] [INFO ] [exp.qw.utils.SinaWeiboUtils] [62]- 正在保存本次登陆的Cookies...
[2017-10-21 17:50:19 588] [INFO ] [exp.qw.utils.SinaWeiboUtils] [112]- 开始爬取微博相册专辑: [http://photo.weibo.com/3064280845/albums].
[2017-10-21 17:50:19 589] [INFO ] [exp.qw.utils.SinaWeiboUtils] [169]- 开始获取专辑下所有相册地址...
[2017-10-21 17:50:20 517] [INFO ] [exp.qw.utils.SinaWeiboUtils] [180]- 正在等待页面加载相册地址...
[2017-10-21 17:50:20 737] [INFO ] [exp.qw.utils.SinaWeiboUtils] [186]- 正在获取相册地址...
[2017-10-21 17:50:20 871] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [头像相册] 地址: [http://photo.weibo.com/3064280845/albums/detail/album_id/3573512371651105].
[2017-10-21 17:50:20 933] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [微博配图] 地址: [http://photo.weibo.com/3064280845/talbum/index].
[2017-10-21 17:50:20 994] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [默认专辑] 地址: [http://photo.weibo.com/3064280845/albums/detail/album_id/4072955377259487].
[2017-10-21 17:50:21 023] [WARN ] [exp.qw.utils.SinaWeiboUtils] [204]-  - 相册 [默认专辑] 内无图片.
[2017-10-21 17:50:21 023] [INFO ] [exp.qw.utils.SinaWeiboUtils] [207]- 获取专辑下所有相册地址完成, 共 [3] 个相册.
[2017-10-21 17:50:21 023] [INFO ] [exp.qw.utils.SinaWeiboUtils] [141]- 开始爬取相册 [头像相册] : [http://photo.weibo.com/3064280845/albums/detail/album_id/3573512371651105].
[2017-10-21 17:50:21 024] [INFO ] [exp.qw.utils.SinaWeiboUtils] [233]- 正在扫描相册 [头像相册] 第 [1] 页中的所有图片地址...
[2017-10-21 17:50:23 864] [INFO ] [exp.qw.utils.SinaWeiboUtils] [247]- 正在等待页面加载图片地址...
[2017-10-21 17:50:24 597] [INFO ] [exp.qw.utils.SinaWeiboUtils] [263]- 扫描相册 [头像相册] 第 [1] 页中的所有图片地址完成.
[2017-10-21 17:50:24 634] [INFO ] [exp.qw.utils.SinaWeiboUtils] [266]- 正在翻到相册 [头像相册] 下一页...
[2017-10-21 17:50:34 635] [INFO ] [exp.qw.utils.SinaWeiboUtils] [233]- 正在扫描相册 [头像相册] 第 [2] 页中的所有图片地址...
[2017-10-21 17:50:37 067] [INFO ] [exp.qw.utils.SinaWeiboUtils] [247]- 正在等待页面加载图片地址...
[2017-10-21 17:50:37 308] [INFO ] [exp.qw.utils.SinaWeiboUtils] [263]- 扫描相册 [头像相册] 第 [2] 页中的所有图片地址完成.
[2017-10-21 17:50:37 932] [WARN ] [exp.qw.utils.SinaWeiboUtils] [286]- 相册 [头像相册] 已到最后一页.
[2017-10-21 17:50:40 000] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579439878.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dly8fivb5pud6hj20ro0ro775.jpg]
[2017-10-21 17:50:41 555] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579441479.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dly8fiaky48l9vj20ro0rowh5.jpg]
[2017-10-21 17:50:44 086] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579443946.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi9jmmie2kj20ro0romzm.jpg]
[2017-10-21 17:50:45 438] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579445282.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dly8fi9jm691p2j20ro0roaci.jpg]
[2017-10-21 17:50:47 220] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579447157.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi9jlssvnoj20ro0rowgx.jpg]
[2017-10-21 17:50:49 411] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579449344.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi9jlicd02j20ro0rodia.jpg]
[2017-10-21 17:50:50 563] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579450509.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dly8fi9jl8ttqsj20ro0ro0v8.jpg]
[2017-10-21 17:50:52 386] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579452342.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dly8fi9j3e9eroj20ro0rowfu.jpg]
[2017-10-21 17:50:53 319] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579453274.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dly8fi9j359ux5j20ro0romys.jpg]
[2017-10-21 17:50:55 774] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579455703.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dly8fi9j2qwjmvj20ro0rogn4.jpg]
[2017-10-21 17:50:57 446] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579457193.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dly8fi9j1zwd0uj20ro0rojta.jpg]
[2017-10-21 17:50:59 231] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579459167.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi8xzmw17yj20ro0roabv.jpg]
[2017-10-21 17:51:00 399] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579460360.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi8xze0y2pj20ro0romyj.jpg]
[2017-10-21 17:51:03 068] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579463022.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fi1yh5guw3j20ro0ro0v4.jpg]
[2017-10-21 17:51:05 367] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579465316.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dly8fh9l6e08b6j20ro0rogna.jpg]
[2017-10-21 17:51:08 305] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579468241.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dly8fegvyioysvj20ro0rp0vj.jpg]
[2017-10-21 17:51:09 593] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579469541.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dly8fe464ssla8j20ro0rognv.jpg]
[2017-10-21 17:51:12 292] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579472221.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dly8fe464d315sj20ro0romze.jpg]
[2017-10-21 17:51:13 689] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579473522.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dly8fe46458f3yj20ro0roaca.jpg]
[2017-10-21 17:51:16 870] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579476811.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fdzpgy3i4aj20ro0rp76v.jpg]
[2017-10-21 17:51:18 019] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579477971.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dly8fdzpgqgxtpj20ro0rp770.jpg]
[2017-10-21 17:51:20 485] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579479437.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8fdaaj5ffd2j20ro0romz6.jpg]
[2017-10-21 17:51:21 421] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579481373.jpg] 成功, 来源: [http://ww2.sinaimg.cn/large/b6a5370djw8fcn7z4n590j20ro0rojt2.jpg]
[2017-10-21 17:51:22 613] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579482578.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8fc7mx4ydqfj20ro0rojtb.jpg]
[2017-10-21 17:51:23 834] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579483739.jpg] 成功, 来源: [http://ww4.sinaimg.cn/large/b6a5370djw8fbu2n1f5jpj20ro0rowgi.jpg]
[2017-10-21 17:51:25 164] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579485127.jpg] 成功, 来源: [http://ww1.sinaimg.cn/large/b6a5370djw8fbl1gre6ryj20ro0romyj.jpg]
[2017-10-21 17:51:26 638] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579486594.jpg] 成功, 来源: [http://ww4.sinaimg.cn/large/b6a5370djw8f75wltpat4j20ro0rp76c.jpg]
[2017-10-21 17:51:28 066] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579488012.jpg] 成功, 来源: [http://ww4.sinaimg.cn/large/b6a5370djw8f67ybhi70ij20ro0rpdi3.jpg]
[2017-10-21 17:51:29 181] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579489149.jpg] 成功, 来源: [http://ww1.sinaimg.cn/large/b6a5370djw8f4zuavos83j20ro0rpmxj.jpg]
[2017-10-21 17:51:30 244] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579490198.jpg] 成功, 来源: [http://ww2.sinaimg.cn/large/b6a5370djw8f2ds75r22bj20ro0rpq57.jpg]
[2017-10-21 17:51:31 572] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579491529.jpg] 成功, 来源: [http://ww4.sinaimg.cn/large/b6a5370djw8f24cqvwcpjj20ro0rpn06.jpg]
[2017-10-21 17:51:32 701] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579492652.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8ezjaf0c04gj20ro0rptah.jpg]
[2017-10-21 17:51:34 015] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579493928.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8euwt88lw0jj20k00k03zq.jpg]
[2017-10-21 17:51:35 889] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579495742.jpg] 成功, 来源: [http://ww4.sinaimg.cn/large/b6a5370djw8esfc04l692j20k00k0wfc.jpg]
[2017-10-21 17:51:37 097] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579497073.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8eqkst7ke4bj20k00k0aaq.jpg]
[2017-10-21 17:51:38 308] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579498276.jpg] 成功, 来源: [http://ww1.sinaimg.cn/large/b6a5370djw8eouelzc65yj20k00k0ab1.jpg]
[2017-10-21 17:51:39 380] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579499346.jpg] 成功, 来源: [http://ww3.sinaimg.cn/large/b6a5370djw8e53yeccsoqj20b40dvjry.jpg]
